,year,avg_budget,avg_revenue,count
0,1913,168549,53226000,1
1,1914,32752954,85761509,2
2,1915,1122199,82172978,4
3,1916,64529450,90570205,4
4,1918,4877500,156080000,1
5,1919,1759680,50760000,2
6,1920,5856000,54900000,2
7,1921,11614087,64809805,4
8,1922,7406403,3151278,3
9,1923,9826880,15757436,3
10,1924,9300463,16062826,5
11,1925,15331850,86393720,7
12,1926,9147695,17924346,7
13,1927,8886781,22109269,8
14,1928,20004405,34040657,11
15,1929,8884074,46102925,8
16,1930,21196294,41248104,6
17,1931,13755920,61546400,9
18,1932,11312364,28363553,8
19,1933,11250460,61532592,16
20,1934,11379516,28410125,13
21,1935,13003598,27633947,14
22,1936,17849961,35481310,14
23,1937,19375136,362936543,11
24,1938,26970618,55243621,8
25,1939,34510882,751300804,13
26,1940,26285133,250169569,17
27,1941,13612758,77411010,16
28,1942,11977061,358914959,16
29,1943,25430919,64968306,15
30,1944,32295165,60160688,10
31,1945,19655838,69090149,13
32,1946,30235143,154036303,18
33,1947,22767009,40946173,16
34,1948,25600610,37877125,13
35,1949,21769705,45650398,19
36,1950,17493209,265816664,14
37,1951,23905016,454661206,16
38,1952,22060753,81218417,13
39,1953,16734832,127031000,21
40,1954,23921552,81901806,19
41,1955,19254144,53027984,20
42,1956,33049596,158106284,21
43,1957,20231319,58595645,23
44,1958,19455174,54723612,17
45,1959,32138176,195417259,17
46,1960,28174230,118803009,21
47,1961,30420919,145667056,16
48,1962,58712997,138588014,20
49,1963,62059855,211242501,15
50,1964,49311413,127044727,18
51,1965,58504648,300239235,15
52,1966,39469881,112313429,16
53,1967,38544571,265641078,23
54,1968,34774415,124267100,27
55,1969,51125516,212552519,13
56,1970,57941254,209450121,27
57,1971,22002496,168454536,27
58,1972,15245751,235844378,21
59,1973,25911483,228421853,31
60,1974,19283513,215362485,29
61,1975,19634648,207282196,29
62,1976,26989431,175045559,29
63,1977,33280895,339468703,33
64,1978,37431334,176546160,50
65,1979,33115704,134809375,54
66,1980,38257993,125952589,67
67,1981,32922717,91059186,79
68,1982,33235537,102513702,91
69,1983,27075322,87313919,92
70,1984,32344790,83454360,103
71,1985,30830077,84619608,107
72,1986,29911635,70498249,119
73,1987,30678131,80026996,121
74,1988,29743332,72558098,153
75,1989,35363443,101064661,136
76,1990,39626276,112927529,122
77,1991,37543212,87141023,141
78,1992,39940489,95665816,142
79,1993,35721949,92643688,163
80,1994,46439650,108525014,143
81,1995,46360732,107497820,156
82,1996,50377239,103203930,165
83,1997,57986443,128023763,175
84,1998,53403754,108622455,181
85,1999,57159033,110623228,207
86,2000,53411552,107871649,201
87,2001,49925071,107496834,219
88,2002,46957477,109411866,236
89,2003,55039803,135926498,196
90,2004,49359580,117287629,235
91,2005,41820184,95198370,275
92,2006,38184544,83214756,300
93,2007,37147364,88644822,319
94,2008,36767298,90943072,312
95,2009,39146272,107747692,299
96,2010,46464543,121470187,265
97,2011,41185738,114062276,275
98,2012,40483198,120212187,272
99,2013,37997050,107312870,301
100,2014,35897942,111228683,293
101,2015,35588373,118031541,277
102,2016,36561616,105565986,319
103,2017,35200956,117571420,282
104,2018,31633813,114830903,289
105,2019,37684193,126206213,231
106,2020,24572409,28133358,147
107,2021,41159911,77472480,170
108,2022,42327671,107901463,149
109,2023,35200531,53263912,19
