genre,avg_budget,avg_revenue,budget_percent,revenue_percent
Horror,23443853,116616261,0.8,1
Science Fiction,100665877,424752202,0.76,1
Action,101395916,408352293,0.75,1
War,62424860,218216322,0.71,1
Crime,58620914,227839429,0.74,1
Romance,44251608,279476982,0.84,1
Thriller,60288740,232955039,0.74,1
Comedy,57142920,242130753,0.76,1
Fantasy,110154820,473317076,0.77,1
Adventure,122196715,541894320,0.77,1
History,56190275,154801041,0.64,1
Documentary,5719135,46047664,0.88,1
Music,38420335,172879617,0.78,1
TV Movie,4604096,3462539,-0.33,1
Western,39867308,142015426,0.72,1
Family,82102862,376449052,0.78,1
Drama,46517488,235569633,0.8,1
Animation,95081935,492910223,0.81,1
Mystery,47252762,185750829,0.75,1
