genre,sequal_avg_bud,sequal_avg_rev,sequal_count_list,nsequal_avg_bud,nsequal_avg_rev,nsequal_count_list
Horror,23477138,116909213,392,18869981,34245801,754
Science Fiction,100387743,424850585,314,58480747,106015265,597
Action,101606505,410008938,641,52503541,88140152,1476
War,62424860,218216322,35,52530146,145773922,260
Crime,58691148,229303563,264,32362594,53814737,1208
Romance,44265068,281067306,145,31952465,82745537,1633
Thriller,60515021,234505617,480,35519891,62548709,1907
Comedy,56968200,242193285,664,32781336,65837770,2775
Fantasy,110154820,473317076,270,62537009,137774741,510
Adventure,122072558,542173630,530,71051414,138526858,830
History,56190275,154801041,18,53470124,102729767,359
Documentary,5719135,46047664,20,3998007,9391963,291
Music,38420335,172879617,51,27805101,65592246,365
TV Movie,4604096,3462539,7,6793427,26711575,17
Western,39867308,142015426,20,44825799,75697065,177
Family,82102862,376449052,330,59675458,146020659,582
Drama,46591661,237076383,348,30058527,65666894,4085
Animation,95081935,492910223,175,64794888,173742960,279
Mystery,47662664,187461006,148,34856458,70880644,634
